
> gameday-map@0.1.0 reprocess:cache
> node --import tsx scripts/reprocessCache.ts

boston-portugal.json: 9 venues, 6 kept country tag, 3 stripped to no-flag
boston-qatar.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-saudi-arabia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-scotland.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-senegal.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-south-africa.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-spain.json: 10 venues, 6 kept country tag, 4 stripped to no-flag
boston-sportsbars.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
boston-sweden.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
boston-switzerland.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-t-rkiye.json: 7 venues, 4 kept country tag, 3 stripped to no-flag
boston-tunisia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-uruguay.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-usa.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
boston-uzbekistan.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-algeria.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-argentina.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
dallas-australia.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
dallas-austria.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
dallas-belgium.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-bosnia-and-herzegovina.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
dallas-brazil.json: 10 venues, 8 kept country tag, 2 stripped to no-flag
dallas-c-te-d-ivoire.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-cabo-verde.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-canada.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-colombia.json: 10 venues, 3 kept country tag, 7 stripped to no-flag
dallas-congo-dr.json: 7 venues, 7 kept country tag, 0 stripped to no-flag
dallas-croatia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-cura-ao.json: 4 venues, 4 kept country tag, 0 stripped to no-flag
dallas-czechia.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
dallas-ecuador.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-egypt.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
dallas-england.json: 4 venues, 0 kept country tag, 4 stripped to no-flag
dallas-france.json: 10 venues, 7 kept country tag, 3 stripped to no-flag
dallas-germany.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
dallas-ghana.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
dallas-haiti.json: 6 venues, 6 kept country tag, 0 stripped to no-flag
dallas-ir-iran.json: 7 venues, 3 kept country tag, 4 stripped to no-flag
dallas-iraq.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-japan.json: 10 venues, 10 kept country tag, 0 stripped to no-flag
dallas-jordan.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-korea-republic.json: 10 venues, 6 kept country tag, 4 stripped to no-flag
dallas-mexico.json: 9 venues, 7 kept country tag, 2 stripped to no-flag
dallas-morocco.json: 1 venues, 0 kept country tag, 1 stripped to no-flag
dallas-netherlands.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-new-zealand.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-norway.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
dallas-panama.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-paraguay.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-portugal.json: 6 venues, 6 kept country tag, 0 stripped to no-flag
dallas-qatar.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-saudi-arabia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-scotland.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-senegal.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
dallas-south-africa.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-spain.json: 8 venues, 6 kept country tag, 2 stripped to no-flag
dallas-sportsbars.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-sweden.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-switzerland.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
dallas-t-rkiye.json: 6 venues, 1 kept country tag, 5 stripped to no-flag
dallas-tunisia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-uruguay.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-usa.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
dallas-uzbekistan.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
guadalajara-algeria.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-argentina.json: 10 venues, 9 kept country tag, 1 stripped to no-flag
guadalajara-australia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-austria.json: 4 venues, 4 kept country tag, 0 stripped to no-flag
guadalajara-belgium.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-bosnia-and-herzegovina.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-brazil.json: 8 venues, 3 kept country tag, 5 stripped to no-flag
guadalajara-c-te-d-ivoire.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-cabo-verde.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-canada.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
guadalajara-colombia.json: 4 venues, 2 kept country tag, 2 stripped to no-flag
guadalajara-congo-dr.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-croatia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-cura-ao.json: 4 venues, 4 kept country tag, 0 stripped to no-flag
guadalajara-czechia.json: 2 venues, 1 kept country tag, 1 stripped to no-flag
guadalajara-ecuador.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-egypt.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-england.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-france.json: 10 venues, 6 kept country tag, 4 stripped to no-flag
guadalajara-germany.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
guadalajara-ghana.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-haiti.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-ir-iran.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-iraq.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-japan.json: 9 venues, 6 kept country tag, 3 stripped to no-flag
guadalajara-jordan.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-korea-republic.json: 10 venues, 5 kept country tag, 5 stripped to no-flag
guadalajara-mexico.json: 10 venues, 9 kept country tag, 1 stripped to no-flag
guadalajara-morocco.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
guadalajara-netherlands.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
guadalajara-new-zealand.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-norway.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
guadalajara-panama.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-paraguay.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-portugal.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-qatar.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-saudi-arabia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-scotland.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-senegal.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
guadalajara-south-africa.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-spain.json: 8 venues, 3 kept country tag, 5 stripped to no-flag
guadalajara-sportsbars.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
guadalajara-sweden.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-switzerland.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-t-rkiye.json: 4 venues, 3 kept country tag, 1 stripped to no-flag
guadalajara-tunisia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-uruguay.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-usa.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
guadalajara-uzbekistan.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-algeria.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-argentina.json: 5 venues, 2 kept country tag, 3 stripped to no-flag
houston-australia.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
houston-austria.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
houston-belgium.json: 1 venues, 0 kept country tag, 1 stripped to no-flag
houston-bosnia-and-herzegovina.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-brazil.json: 10 venues, 6 kept country tag, 4 stripped to no-flag
houston-c-te-d-ivoire.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-cabo-verde.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-canada.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-colombia.json: 9 venues, 3 kept country tag, 6 stripped to no-flag
houston-congo-dr.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-croatia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-cura-ao.json: 6 venues, 6 kept country tag, 0 stripped to no-flag
houston-czechia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-ecuador.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
houston-egypt.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
houston-england.json: 3 venues, 2 kept country tag, 1 stripped to no-flag
houston-france.json: 10 venues, 8 kept country tag, 2 stripped to no-flag
houston-germany.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-ghana.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
houston-haiti.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
houston-ir-iran.json: 10 venues, 8 kept country tag, 2 stripped to no-flag
houston-iraq.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-japan.json: 10 venues, 9 kept country tag, 1 stripped to no-flag
houston-jordan.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-korea-republic.json: 10 venues, 5 kept country tag, 5 stripped to no-flag
houston-mexico.json: 10 venues, 10 kept country tag, 0 stripped to no-flag
houston-morocco.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
houston-netherlands.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-new-zealand.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
houston-norway.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-panama.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
houston-paraguay.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
houston-portugal.json: 6 venues, 3 kept country tag, 3 stripped to no-flag
houston-qatar.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-saudi-arabia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-scotland.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-senegal.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
houston-south-africa.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-spain.json: 9 venues, 3 kept country tag, 6 stripped to no-flag
houston-sportsbars.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-sweden.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
houston-switzerland.json: 1 venues, 0 kept country tag, 1 stripped to no-flag
houston-t-rkiye.json: 7 venues, 7 kept country tag, 0 stripped to no-flag
houston-tunisia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
houston-uruguay.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
houston-usa.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
houston-uzbekistan.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-algeria.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-argentina.json: 5 venues, 5 kept country tag, 0 stripped to no-flag
kansas-city-australia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-austria.json: 2 venues, 1 kept country tag, 1 stripped to no-flag
kansas-city-belgium.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-bosnia-and-herzegovina.json: 4 venues, 4 kept country tag, 0 stripped to no-flag
kansas-city-brazil.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
kansas-city-c-te-d-ivoire.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-cabo-verde.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-canada.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
kansas-city-colombia.json: 2 venues, 0 kept country tag, 2 stripped to no-flag
kansas-city-congo-dr.json: 5 venues, 5 kept country tag, 0 stripped to no-flag
kansas-city-croatia.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
kansas-city-cura-ao.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
kansas-city-czechia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-ecuador.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-egypt.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-england.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-france.json: 9 venues, 6 kept country tag, 3 stripped to no-flag
kansas-city-germany.json: 2 venues, 0 kept country tag, 2 stripped to no-flag
kansas-city-ghana.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
kansas-city-haiti.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
kansas-city-ir-iran.json: 1 venues, 0 kept country tag, 1 stripped to no-flag
kansas-city-iraq.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-japan.json: 9 venues, 6 kept country tag, 3 stripped to no-flag
kansas-city-jordan.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-korea-republic.json: 9 venues, 6 kept country tag, 3 stripped to no-flag
kansas-city-mexico.json: 10 venues, 8 kept country tag, 2 stripped to no-flag
kansas-city-morocco.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
kansas-city-netherlands.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-new-zealand.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
kansas-city-norway.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
kansas-city-panama.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-paraguay.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-portugal.json: 9 venues, 9 kept country tag, 0 stripped to no-flag
kansas-city-qatar.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-saudi-arabia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-scotland.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
