
> gameday-map@0.1.0 reprocess:cache
> node --import tsx scripts/reprocessCache.ts

boston-qatar.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
boston-saudi-arabia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
boston-scotland.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
boston-senegal.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
boston-south-africa.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
boston-spain.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
boston-sweden.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
boston-switzerland.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
boston-t-rkiye.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
boston-tunisia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
boston-uruguay.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
boston-usa.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
boston-uzbekistan.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-algeria.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
dallas-argentina.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
dallas-australia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-austria.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-belgium.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-bosnia-and-herzegovina.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-brazil.json: 10 venues, 7 kept country tag, 3 stripped to no-flag
dallas-c-te-d-ivoire.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-cabo-verde.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-canada.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-colombia.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
dallas-congo-dr.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-croatia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-cura-ao.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-czechia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-ecuador.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-egypt.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
dallas-england.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-france.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-germany.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-ghana.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
dallas-haiti.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-ir-iran.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-iraq.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-japan.json: 10 venues, 5 kept country tag, 5 stripped to no-flag
dallas-jordan.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-korea-republic.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
dallas-mexico.json: 10 venues, 3 kept country tag, 7 stripped to no-flag
dallas-morocco.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-netherlands.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-new-zealand.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-norway.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-panama.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-paraguay.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-portugal.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-qatar.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-saudi-arabia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-scotland.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-senegal.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-south-africa.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-spain.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-sweden.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-switzerland.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
